Site,Phos,NO3,NH4,Avwidth,Avvel,Avsed,Avtemp,mkd,mkdd,DO,Cond
510A,0.009,0.163,0.208,3.595,0.17,2.24,15.52827381,0.006155374,0.000396398,8.33,114.8
510B,0.0091,0.286,0.2074,1.09,0.05,5.12,16.28199405,0.012285791,0.000791188,8.15,160.8
510C,0.0107,0.365,0.1971,5.135,0.14,60.712,16.98660714,0.008918296,0.000574326,9.53,108.6
510D,0.0027,0.379,0.2298,1.39,0.04,15.056,12.75967262,0.008969404,0.000577618,8.04,65.7
510E,0.0125,0.563,0.2412,0.95,0,2,15.81875,0.006204977,0.000399592,,
510F,0.0139,0.224,0.2797,2.47,0.02,21.672,14.86235119,0.00344545,0.000221882,7,200.6
510G,0.016,1.003,0.3378,1.17,0.05,10.416,13.13988095,0.013795707,0.000888425,8.57,22.5
550A,0.0124,0.206,0.4185,5.1,0.05,2.544,15.44047619,0.016034495,0.0010326,9.14,162.5
550B,0.0132,0.161,0.5841,2.75,0.12,50.584,17.26339286,0.047198119,0.003039496,8.42,139.7
550C,0.0185,2.244,0.6334,2.2,0.08,13.36,15.59151786,0.054792528,0.003528565,8.75,226
AAA,0.0111,0.39,0.8087,1.78,0.06,34.728,14.52498751,0.01801981,0.001160452,8.8,196.4
BBA,0.0068,0.083,0.6581,1.23,0.09,60.48461538,16.97376543,0.023235781,0.001496353,7.86,56.6
BBB,0.0026,0.14,0.5681,1.15,0.05,19.368,17.5014881,0.025012551,0.001610775,,
HMCA,0.0033,0.052,0.5204,3.94,0.14,18.62142857,22.28232759,0.018828353,0.001212521,8.08,66.28
HMCB,0.0063,0.093,0.3639,1.62,0.02,16.456,17.24137931,0.068239064,0.004394504,,71.1
HMCD,0.013,0.095,0.2795,1.04,0.06,25.70833333,16.12212644,0.033543722,0.002160171,7.14,59.8
NW1,0.0158,0.3,0.2451,1.76,0.11,8.128,10.27873563,0.044234541,0.002848645,10.19,150.7
NW2,0.0136,0.262,0.3019,1.02,0.14,2,9.423850575,0.021702045,0.001397583,10.47,157.8
STMB,0.0202,0.08,0.3041,3.29,0.34,72.99130435,14.94396552,0.070445291,0.004536582,9.57,128.6
STMF,0.0177,0.104,0.2137,8.16,0.28,81.584,16.94252874,0.073131087,0.004709544,9.49,128.2
WLA,0.0036,0.091,0.2545,3.45,0.32,22.192,19.14969136,0.008510536,0.000548067,5.27,121.2
YD510,0.0176,0.251,0.2981,6.55,0.05,38.264,16.68452381,0.015682918,0.001009959,9.27,123.6
YD550,0.0113,0.266,0.2875,12.46,0.23,14.088,17.85714286,0.012442753,0.000801297,9.04,137.6
YDP1,0.0028,0.163,0.2763,7.49,0.28,9.696,19.1795977,0.016859076,0.001085702,6.99,81.3
YDP2,0.0055,0.085,0.258,5.6,0.01,51.36,19.81034483,0.00653148,0.000420619,8.42,78.4
