Year,Date,Site,Siteaz,Temp,,,,,,,
2010,7/10/2010,NW1,J,9.875,,,,,,,
2010,7/11/2010,NW1,J,9.75,,,,,,,
2010,7/12/2010,NW1,J,10.54166667,,,,,,,
2010,7/13/2010,NW1,J,9.479166667,,,,,,,
2010,7/14/2010,NW1,J,9.5625,,,,,,,
2010,7/15/2010,NW1,J,10.5625,,,,,,,
2010,7/16/2010,NW1,J,10.16666667,,,,,,,
2010,7/17/2010,NW1,J,9.729166667,,,,,,,
2010,7/18/2010,NW1,J,9.3125,,,,,,,
2010,7/19/2010,NW1,J,9.354166667,,,,,,,
2010,7/20/2010,NW1,J,10.22916667,,,,,,,
2010,7/21/2010,NW1,J,10.60416667,,,,,,,
2010,7/22/2010,NW1,J,9.666666667,,,,,,,
2010,7/23/2010,NW1,J,9.75,,,,,,,
2010,7/24/2010,NW1,J,9.291666667,,,,,,,
2010,7/25/2010,NW1,J,9.354166667,,,,,,,
2010,7/26/2010,NW1,J,9.375,,,,,,,
2010,7/27/2010,NW1,J,9.958333333,,,,,,,
2010,7/28/2010,NW1,J,10.16666667,,,,,,,
2010,7/29/2010,NW1,J,9.4375,,,,,,,
2010,7/30/2010,NW1,J,9.291666667,,,,,,,
2010,7/31/2010,NW1,J,10.9375,,,,,,,
2010,8/1/2010,NW1,J,10.22916667,,,,,,,
2010,8/2/2010,NW1,J,10.08333333,,,,,,,
2010,8/3/2010,NW1,J,10.28125,,,,,,,
2010,7/10/2010,STMB,I,16.58333333,,,,,,,
2010,7/11/2010,STMB,I,15.14583333,,,,,,,
2010,7/12/2010,STMB,I,14.33333333,,,,,,,
2010,7/13/2010,STMB,I,13.875,,,,,,,
2010,7/14/2010,STMB,I,14.20833333,,,,,,,
2010,7/15/2010,STMB,I,15.52083333,,,,,,,
2010,7/16/2010,STMB,I,16.16666667,,,,,,,
2010,7/17/2010,STMB,I,16.08333333,,,,,,,
2010,7/18/2010,STMB,I,14.75,,,,,,,
2010,7/19/2010,STMB,I,13.64583333,,,,,,,
2010,7/20/2010,STMB,I,13.8125,,,,,,,
2010,7/21/2010,STMB,I,14.14583333,,,,,,,
2010,7/22/2010,STMB,I,13.89583333,,,,,,,
2010,7/23/2010,STMB,I,14.25,,,,,,,
2010,7/24/2010,STMB,I,13.85416667,,,,,,,
2010,7/25/2010,STMB,I,13.75,,,,,,,
2010,7/26/2010,STMB,I,14.77083333,,,,,,,
2010,7/27/2010,STMB,I,15.77083333,,,,,,,
2010,7/28/2010,STMB,I,16.14583333,,,,,,,
2010,7/29/2010,STMB,I,14.875,,,,,,,
2010,7/30/2010,STMB,I,14.375,,,,,,,
2010,7/31/2010,STMB,I,14.375,,,,,,,
2010,8/1/2010,STMB,I,14.22916667,,,,,,,
2010,8/2/2010,STMB,I,14.97916667,,,,,,,
2010,8/3/2010,STMB,I,14.6,,,,,,,
2010,7/10/2010,NW2,K,9.708333333,,,,,,,
2010,7/11/2010,NW2,K,9.625,,,,,,,
2010,7/12/2010,NW2,K,9.5625,,,,,,,
2010,7/13/2010,NW2,K,8.958333333,,,,,,,
2010,7/14/2010,NW2,K,9.354166667,,,,,,,
2010,7/15/2010,NW2,K,9.895833333,,,,,,,
2010,7/16/2010,NW2,K,9.791666667,,,,,,,
2010,7/17/2010,NW2,K,9.479166667,,,,,,,
2010,7/18/2010,NW2,K,9.166666667,,,,,,,
2010,7/19/2010,NW2,K,9.083333333,,,,,,,
2010,7/20/2010,NW2,K,9.270833333,,,,,,,
2010,7/21/2010,NW2,K,9.4375,,,,,,,
2010,7/22/2010,NW2,K,9.145833333,,,,,,,
2010,7/23/2010,NW2,K,9.395833333,,,,,,,
2010,7/24/2010,NW2,K,9.0625,,,,,,,
2010,7/25/2010,NW2,K,9.083333333,,,,,,,
2010,7/26/2010,NW2,K,9.1875,,,,,,,
2010,7/27/2010,NW2,K,9.770833333,,,,,,,
2010,7/28/2010,NW2,K,9.9375,,,,,,,
2010,7/29/2010,NW2,K,9.1875,,,,,,,
2010,7/30/2010,NW2,K,9.1875,,,,,,,
2010,7/31/2010,NW2,K,9.833333333,,,,,,,
2010,8/1/2010,NW2,K,9.5,,,,,,,
2010,8/2/2010,NW2,K,9.604166667,,,,,,,
2010,8/3/2010,NW2,K,9.75,,,,,,,
2010,7/10/2010,YDP2,T,19.47916667,,,,,,,
2010,7/11/2010,YDP2,T,19.8125,,,,,,,
2010,7/12/2010,YDP2,T,19.08333333,,,,,,,
2010,7/13/2010,YDP2,T,18.41666667,,,,,,,
2010,7/14/2010,YDP2,T,18.3125,,,,,,,
2010,7/15/2010,YDP2,T,18.77083333,,,,,,,
2010,7/16/2010,YDP2,T,19.29166667,,,,,,,
2010,7/17/2010,YDP2,T,19.54166667,,,,,,,
2010,7/18/2010,YDP2,T,18.875,,,,,,,
2010,7/19/2010,YDP2,T,19.54166667,,,,,,,
2010,7/20/2010,YDP2,T,18.91666667,,,,,,,
2010,7/21/2010,YDP2,T,19.77083333,,,,,,,
2010,7/22/2010,YDP2,T,21.0625,,,,,,,
2010,7/23/2010,YDP2,T,24.1875,,,,,,,
2010,7/24/2010,YDP2,T,22.5,,,,,,,
2010,7/25/2010,YDP2,T,18.91666667,,,,,,,
2010,7/26/2010,YDP2,T,23.72916667,,,,,,,
2010,7/27/2010,YDP2,T,23.875,,,,,,,
2010,7/28/2010,YDP2,T,23.89583333,,,,,,,
2010,7/29/2010,YDP2,T,24.27083333,,,,,,,
2010,7/30/2010,YDP2,T,23.75,,,,,,,
2010,7/31/2010,YDP2,T,23.79166667,,,,,,,
2010,8/1/2010,YDP2,T,23.70833333,,,,,,,
2010,8/2/2010,YDP2,T,24.10416667,,,,,,,
2010,8/3/2010,YDP2,T,25.11538462,,,,,,,
2010,7/10/2010,AAA,M,15.03846154,,,,,,,
2010,7/11/2010,AAA,M,14.29166667,,,,,,,
2010,7/12/2010,AAA,M,14.25,,,,,,,
2010,7/13/2010,AAA,M,12.83333333,,,,,,,
2010,7/14/2010,AAA,M,13.39583333,,,,,,,
2010,7/15/2010,AAA,M,14.6875,,,,,,,
2010,7/16/2010,AAA,M,14.60416667,,,,,,,
2010,7/17/2010,AAA,M,13.91666667,,,,,,,
2010,7/18/2010,AAA,M,12.89583333,,,,,,,
2010,7/19/2010,AAA,M,12.5625,,,,,,,
2010,7/20/2010,AAA,M,12.89583333,,,,,,,
2010,7/21/2010,AAA,M,13.1875,,,,,,,
2010,7/22/2010,AAA,M,12.4375,,,,,,,
2010,7/23/2010,AAA,M,13.1875,,,,,,,
2010,7/24/2010,AAA,M,12.39583333,,,,,,,
2010,7/25/2010,AAA,M,12.5,,,,,,,
2010,7/26/2010,AAA,M,12.875,,,,,,,
2010,7/27/2010,AAA,M,14.47916667,,,,,,,
2010,7/28/2010,AAA,M,14.27083333,,,,,,,
2010,7/29/2010,AAA,M,12.6875,,,,,,,
2010,7/30/2010,AAA,M,12.45833333,,,,,,,
2010,7/31/2010,AAA,M,12.83333333,,,,,,,
2010,8/1/2010,AAA,M,13.1875,,,,,,,
2010,8/2/2010,AAA,M,13.60416667,,,,,,,
2010,8/3/2010,AAA,M,13.39285714,,,,,,,
2010,7/10/2010,YDP1,Q,19.27083333,,,,,,,
2010,7/11/2010,YDP1,Q,19.75,,,,,,,
2010,7/12/2010,YDP1,Q,19.20833333,,,,,,,
2010,7/13/2010,YDP1,Q,18.16666667,,,,,,,
2010,7/14/2010,YDP1,Q,18.22916667,,,,,,,
2010,7/15/2010,YDP1,Q,19.04166667,,,,,,,
2010,7/16/2010,YDP1,Q,19.95833333,,,,,,,
2010,7/17/2010,YDP1,Q,20.41666667,,,,,,,
2010,7/18/2010,YDP1,Q,19.47916667,,,,,,,
2010,7/19/2010,YDP1,Q,18.20833333,,,,,,,
2010,7/20/2010,YDP1,Q,18.14583333,,,,,,,
2010,7/21/2010,YDP1,Q,18.04166667,,,,,,,
2010,7/22/2010,YDP1,Q,17.66666667,,,,,,,
2010,7/23/2010,YDP1,Q,18.25,,,,,,,
2010,7/24/2010,YDP1,Q,18,,,,,,,
2010,7/25/2010,YDP1,Q,17.66666667,,,,,,,
2010,7/26/2010,YDP1,Q,18.54166667,,,,,,,
2010,7/27/2010,YDP1,Q,19.85416667,,,,,,,
2010,7/28/2010,YDP1,Q,20.41666667,,,,,,,
2010,7/29/2010,YDP1,Q,19.22916667,,,,,,,
2010,7/30/2010,YDP1,Q,18.91666667,,,,,,,
2010,7/31/2010,YDP1,Q,19.22916667,,,,,,,
2010,8/1/2010,YDP1,Q,18.875,,,,,,,
2010,8/2/2010,YDP1,Q,19.75,,,,,,,
2010,8/3/2010,YDP1,Q,19.61538462,,,,,,,
2010,7/9/2010,YD550,L,20.4,,,,,,,
2010,7/10/2010,YD550,L,18.27083333,,,,,,,
2010,7/11/2010,YD550,L,17.89583333,,,,,,,
2010,7/12/2010,YD550,L,17.58333333,,,,,,,
2010,7/13/2010,YD550,L,16.95833333,,,,,,,
2010,7/14/2010,YD550,L,16.85416667,,,,,,,
2010,7/15/2010,YD550,L,18.6875,,,,,,,
2010,7/16/2010,YD550,L,19.14583333,,,,,,,
2010,7/17/2010,YD550,L,19.16666667,,,,,,,
2010,7/18/2010,YD550,L,17.45833333,,,,,,,
2010,7/19/2010,YD550,L,16.75,,,,,,,
2010,7/20/2010,YD550,L,16.66666667,,,,,,,
2010,7/21/2010,YD550,L,17.375,,,,,,,
2010,7/22/2010,YD550,L,16.8125,,,,,,,
2010,7/23/2010,YD550,L,17.54166667,,,,,,,
2010,7/24/2010,YD550,L,17,,,,,,,
2010,7/25/2010,YD550,L,16.79166667,,,,,,,
2010,7/26/2010,YD550,L,17.85416667,,,,,,,
2010,7/27/2010,YD550,L,18.91666667,,,,,,,
2010,7/28/2010,YD550,L,19.5,,,,,,,
2010,7/29/2010,YD550,L,17.97916667,,,,,,,
2010,7/30/2010,YD550,L,17.04166667,,,,,,,
